piat1997 piat1998 piat1999 piat2000 income1 fgrade mgrade
69 NA 80 71 0 14 15
48 57 60 59 16 NA 12
54 41 59 68 5 12 12
58 67 94 95 10 11 8
54 48 58 70 NA 14 11
64 54 52 35 NA NA 11
53 72 68 66 28.5 12 11
60 70 67 65 NA 10 11
31 NA 40 46 2 12 14
59 61 69 NA NA 11 11
59 50 100 61 NA 12 11
67 76 74 75 15 14 13
62 92 NA NA NA NA 12
52 66 92 76 10 11 12
42 6 48 75 NA 7 8
54 77 90 60 20 NA 11
81 73 NA NA 46 14 12
34 36 44 54 NA NA 15
66 70 NA NA NA 12 10
86 56 70 NA NA 3 5
66 72 79 NA NA 14 12
49 73 70 78 0 NA 12
62 50 61 81 NA 14 12
54 NA 64 64 NA 14 12
93 90 97 98 27 11 10
22 20 NA 27 14 12 9
70 70 79 83 22 NA 14
81 NA NA 91 25 12 16
58 73 73 97 23 12 12
100 5 32 39 NA NA 12
95 98 97 97 16 NA 10
54 60 60 70 18.95 NA 12
72 70 NA NA 5 13 10
100 49 61 56 1.7 12 12
100 82 72 95 0 12 12
100 71 87 67 15 12 14
65 70 NA 50 NA 13 12
68 56 88 80 55 14 14
48 NA NA 71 NA 6 12
55 88 76 94 41 NA 12
78 77 88 88 15 4 9
86 91 91 88 15 NA NA
62 69 NA 49 NA NA 10
31 45 50 41 NA 12 11
46 64 NA 73 24 NA 13
61 67 64 65 0.9 12 15
81 58 52 NA 17.056 NA NA
59 56 59 75 NA NA 15
NA 66 57 71 NA 8 7
29 44 44 42 NA 12 12
49 52 54 62 14 12 12
43 78 70 90 17 10 12
83 68 76 71 27 NA 12
63 65 79 72 NA NA 12
55 59 59 58 NA NA 11
51 69 52 60 9 NA 10
28 61 NA 59 NA 11 12
44 41 75 83 15 12 11
58 56 67 66 15 12 11
54 47 58 59 5 6 12
NA 40 55 68 NA NA NA
46 61 54 70 19 NA NA
44 56 66 54 3 3 NA
62 68 NA 81 10 16 12
63 69 66 68 NA 15 12
61 59 61 64 7.2 NA 7
46 54 64 49 NA NA 12
NA 69 78 58 25 7 12
NA 57 60 74 25 NA 12
68 37 51 56 11 12 6
74 64 78 80 47 16 16
70 65 65 59 18 NA 6
83 73 91 93 65 12 12
74 70 53 64 1 9 12
59 56 80 57 20 12 NA
72 NA NA 49 NA 14 14
78 91 89 87 43 12 12
31 1 47 49 0.003 12 12
84 77 65 87 0.04 10 13
